datetime,open,high,low,close,volume
2024-05-26 20:00:00,2335.822,2340.72,2332.221,2337.213,6808
2024-05-27 00:00:00,2337.225,2347.648,2334.397,2346.013,19149
2024-05-27 04:00:00,2346.01,2346.057,2338.148,2338.599,18149
2024-05-27 08:00:00,2338.644,2346.19,2338.194,2345.068,18233
2024-05-27 12:00:00,2345.113,2358.486,2343.712,2352.483,30806
2024-05-27 16:00:00,2352.435,2355.64,2352.157,2353.937,5008
2024-05-27 20:00:00,2352.198,2353.766,2351.088,2352.409,4059
2024-05-28 00:00:00,2352.449,2356.357,2349.181,2350.896,21274
2024-05-28 04:00:00,2350.862,2353.706,2341.334,2344.045,23874
2024-05-28 08:00:00,2344.012,2348.485,2340.269,2347.434,19813
2024-05-28 12:00:00,2347.404,2364.115,2345.958,2360.278,49144
2024-05-28 16:00:00,2360.24,2362.23,2352.804,2358.192,23894
2024-05-28 20:00:00,2358.175,2362.399,2357.842,2359.722,8154
2024-05-29 00:00:00,2359.686,2361.074,2354.419,2358.162,20510
2024-05-29 04:00:00,2358.173,2361.359,2350.038,2350.509,22041
2024-05-29 08:00:00,2350.574,2351.765,2338.463,2341.703,23859
2024-05-29 12:00:00,2341.696,2347.23,2334.495,2339.187,37959
2024-05-29 16:00:00,2339.179,2344.329,2336.046,2336.783,18494
2024-05-29 20:00:00,2336.812,2339.128,2335.933,2338.402,8060
2024-05-30 00:00:00,2338.416,2339.89,2328.049,2334.348,26654
2024-05-30 04:00:00,2334.301,2337.733,2322.595,2334.38,26829
2024-05-30 08:00:00,2334.409,2340.971,2330.598,2335.863,24472
2024-05-30 12:00:00,2335.838,2351.885,2331.967,2343.841,48923
2024-05-30 16:00:00,2343.875,2348.844,2339.868,2341.605,20189
2024-05-30 20:00:00,2341.551,2346.414,2341.478,2343.944,8404
2024-05-31 00:00:00,2343.959,2347.725,2336.973,2343.735,22575
2024-05-31 04:00:00,2343.707,2347.099,2339.933,2340.401,20324
2024-05-31 08:00:00,2340.377,2344.96,2339.72,2343.821,18707
2024-05-31 12:00:00,2343.777,2359.731,2327.732,2330.061,59098
2024-05-31 16:00:00,2330.007,2336.73,2320.563,2327.683,29490
2024-05-31 20:00:00,2327.723,2330.587,2327.034,2327.23,4105
2024-06-02 20:00:00,2328.533,2328.812,2323.373,2325.974,6642
2024-06-03 00:00:00,2326.005,2331.148,2320.843,2321.432,21107
2024-06-03 04:00:00,2321.478,2328.882,2314.729,2325.989,25225
2024-06-03 08:00:00,2325.958,2333.348,2324.332,2330.014,21998
2024-06-03 12:00:00,2330.031,2345.705,2325.695,2342.852,45128
2024-06-03 16:00:00,2342.818,2354.769,2341.385,2347.647,24026
2024-06-03 20:00:00,2347.692,2351.924,2346.936,2350.667,6874
2024-06-04 00:00:00,2350.678,2352.832,2343.155,2345.788,18523
2024-06-04 04:00:00,2345.73,2351.799,2339.072,2339.77,19961
2024-06-04 08:00:00,2339.715,2339.824,2325.283,2327.953,29887
2024-06-04 12:00:00,2327.914,2337.957,2315.59,2326.104,51683
2024-06-04 16:00:00,2326.109,2330.358,2322.548,2327.35,21809
2024-06-04 20:00:00,2327.392,2328.935,2326.017,2328.823,5794
2024-06-05 00:00:00,2328.828,2337.962,2325.865,2337.159,17378
2024-06-05 04:00:00,2337.21,2341.704,2328.095,2331.625,20586
2024-06-05 08:00:00,2331.618,2335.562,2329.504,2332.55,21009
2024-06-05 12:00:00,2332.607,2357.426,2332.218,2353.687,51524
2024-06-05 16:00:00,2353.679,2356.772,2351.407,2353.966,19335
2024-06-05 20:00:00,2354.008,2357.568,2352.806,2355.049,6745
2024-06-06 00:00:00,2355.047,2375.0,2354.528,2368.483,25638
2024-06-06 04:00:00,2368.485,2371.432,2362.19,2362.943,18440
2024-06-06 08:00:00,2362.936,2363.925,2358.553,2359.797,17105
2024-06-06 12:00:00,2359.777,2378.547,2353.413,2374.263,48008
2024-06-06 16:00:00,2374.246,2376.945,2369.015,2372.534,22390
2024-06-06 20:00:00,2372.509,2378.161,2372.322,2376.767,6549
2024-06-07 00:00:00,2376.772,2382.007,2369.417,2380.156,21760
2024-06-07 04:00:00,2380.159,2387.74,2372.771,2373.622,23230
2024-06-07 08:00:00,2373.573,2373.972,2330.904,2336.534,43148
2024-06-07 12:00:00,2336.526,2339.349,2304.483,2304.995,73019
2024-06-07 16:00:00,2305.057,2314.506,2287.573,2288.3,30368
2024-06-07 20:00:00,2288.336,2294.365,2286.759,2293.834,5435
2024-06-09 20:00:00,2290.469,2300.078,2290.417,2298.515,7155
2024-06-10 00:00:00,2298.517,2301.421,2293.942,2295.366,17306
2024-06-10 04:00:00,2295.325,2297.307,2287.738,2296.512,22566
2024-06-10 08:00:00,2296.56,2305.318,2291.865,2305.081,21805
2024-06-10 12:00:00,2305.03,2308.691,2300.393,2307.338,32231
2024-06-10 16:00:00,2307.386,2313.803,2306.971,2308.771,19345
2024-06-10 20:00:00,2308.824,2312.184,2308.513,2309.968,6839
2024-06-11 00:00:00,2309.963,2311.935,2298.815,2303.771,25360
2024-06-11 04:00:00,2303.723,2305.448,2297.683,2304.522,18566
2024-06-11 08:00:00,2304.554,2308.909,2301.529,2307.682,20562
2024-06-11 12:00:00,2307.644,2319.988,2307.576,2310.159,40604
2024-06-11 16:00:00,2310.208,2315.794,2305.825,2315.348,19775
2024-06-11 20:00:00,2315.387,2317.642,2313.914,2315.108,7402
2024-06-12 00:00:00,2315.093,2316.785,2310.709,2314.062,17592
2024-06-12 04:00:00,2314.069,2317.818,2311.194,2314.516,15991
2024-06-12 08:00:00,2314.556,2315.735,2310.8,2312.884,18185
2024-06-12 12:00:00,2312.903,2341.668,2311.602,2335.579,61762
2024-06-12 16:00:00,2335.589,2339.594,2315.856,2321.251,50715
2024-06-12 20:00:00,2321.3,2325.391,2320.157,2320.593,8600
2024-06-13 00:00:00,2320.607,2323.001,2308.116,2314.285,23675
2024-06-13 04:00:00,2314.277,2318.604,2309.006,2317.05,18622
2024-06-13 08:00:00,2317.097,2319.991,2303.974,2307.064,20928
2024-06-13 12:00:00,2307.111,2326.786,2297.783,2299.03,53949
2024-06-13 16:00:00,2298.975,2304.931,2295.501,2303.45,23153
2024-06-13 20:00:00,2303.5,2304.36,2301.727,2302.372,5871
2024-06-14 00:00:00,2302.417,2308.643,2301.54,2305.498,17634
2024-06-14 04:00:00,2305.454,2316.747,2303.485,2315.264,20213
2024-06-14 08:00:00,2315.221,2336.596,2314.761,2332.049,27905
2024-06-14 12:00:00,2332.081,2335.507,2324.044,2326.124,39210
2024-06-14 16:00:00,2326.167,2335.59,2325.39,2332.489,19952
2024-06-14 20:00:00,2332.543,2333.102,2330.955,2332.862,2563
2024-06-16 20:00:00,2331.125,2331.523,2327.45,2328.91,4399
2024-06-17 00:00:00,2328.955,2328.988,2321.518,2324.347,19480
2024-06-17 04:00:00,2324.344,2326.271,2315.478,2317.031,18285
2024-06-17 08:00:00,2317.0,2322.624,2316.45,2318.223,18211
2024-06-17 12:00:00,2318.268,2327.681,2310.008,2312.526,30674
2024-06-17 16:00:00,2312.575,2320.608,2312.575,2320.176,18019
2024-06-17 20:00:00,2320.219,2321.265,2318.451,2320.682,5749
2024-06-18 00:00:00,2320.671,2325.67,2319.274,2324.449,17017
2024-06-18 04:00:00,2324.445,2324.85,2314.995,2315.563,16490
2024-06-18 08:00:00,2315.542,2315.542,2306.57,2313.349,19386
2024-06-18 12:00:00,2313.317,2329.796,2311.474,2326.902,42852
2024-06-18 16:00:00,2326.954,2333.124,2326.486,2329.395,18694
2024-06-18 20:00:00,2329.389,2330.587,2327.535,2328.291,5751
2024-06-19 00:00:00,2328.311,2331.786,2326.53,2328.307,14297
2024-06-19 04:00:00,2328.26,2332.731,2326.834,2331.806,14492
2024-06-19 08:00:00,2331.849,2335.0,2325.791,2330.443,16536
2024-06-19 12:00:00,2330.426,2332.941,2323.711,2329.811,20289
2024-06-19 16:00:00,2329.82,2331.374,2328.919,2330.009,3798
2024-06-19 20:00:00,2329.985,2330.584,2328.695,2329.38,4037
2024-06-20 00:00:00,2329.398,2339.018,2327.777,2333.939,18438
2024-06-20 04:00:00,2333.935,2345.714,2333.732,2338.618,20494
2024-06-20 08:00:00,2338.57,2341.414,2331.593,2339.284,19101
2024-06-20 12:00:00,2339.33,2365.524,2335.34,2353.775,43278
2024-06-20 16:00:00,2353.763,2361.04,2352.836,2358.85,18742
2024-06-20 20:00:00,2358.894,2361.168,2358.193,2360.782,7707
2024-06-21 00:00:00,2360.801,2364.871,2357.106,2362.173,17710
2024-06-21 04:00:00,2362.199,2365.64,2355.125,2362.921,18461
2024-06-21 08:00:00,2362.968,2368.779,2361.315,2366.254,19532
