datetime,open,high,low,close,volume
2024-05-26 22:00:00,2335.822,2337.325,2335.607,2336.862,479
2024-05-26 22:15:00,2336.873,2337.49,2332.221,2336.086,1234
2024-05-26 22:30:00,2336.092,2340.636,2335.867,2338.982,1310
2024-05-26 22:45:00,2338.998,2340.269,2338.196,2340.224,729
2024-05-26 23:00:00,2340.202,2340.214,2338.419,2339.8,904
2024-05-26 23:15:00,2339.799,2340.72,2337.698,2338.689,789
2024-05-26 23:30:00,2338.683,2338.683,2337.134,2337.875,706
2024-05-26 23:45:00,2337.877,2338.155,2336.598,2337.213,657
2024-05-27 00:00:00,2337.225,2337.485,2335.531,2336.472,1004
2024-05-27 00:15:00,2336.492,2336.852,2335.693,2336.776,798
2024-05-27 00:30:00,2336.781,2337.193,2334.397,2335.114,922
2024-05-27 00:45:00,2335.111,2336.56,2334.643,2336.232,1025
2024-05-27 01:00:00,2336.189,2339.526,2334.581,2339.407,1663
2024-05-27 01:15:00,2339.428,2339.516,2337.147,2339.068,1392
2024-05-27 01:30:00,2339.081,2340.337,2338.195,2339.058,1549
2024-05-27 01:45:00,2339.043,2340.324,2338.164,2339.716,1256
2024-05-27 02:00:00,2339.71,2339.949,2338.757,2339.139,1199
2024-05-27 02:15:00,2339.15,2341.167,2339.037,2340.224,966
2024-05-27 02:30:00,2340.254,2341.126,2339.143,2341.019,1060
2024-05-27 02:45:00,2341.014,2346.429,2340.925,2346.103,1521
2024-05-27 03:00:00,2346.096,2347.287,2343.606,2344.671,1416
2024-05-27 03:15:00,2344.717,2347.648,2343.993,2347.377,1476
2024-05-27 03:30:00,2347.343,2347.587,2343.924,2344.863,1142
2024-05-27 03:45:00,2344.868,2346.018,2344.69,2346.013,760
2024-05-27 04:00:00,2346.01,2346.057,2342.958,2343.098,922
2024-05-27 04:15:00,2343.074,2343.37,2341.027,2343.112,1268
2024-05-27 04:30:00,2343.103,2343.509,2341.842,2342.107,710
2024-05-27 04:45:00,2342.104,2343.051,2341.429,2342.955,793
2024-05-27 05:00:00,2342.95,2343.343,2341.918,2342.706,891
2024-05-27 05:15:00,2342.701,2343.284,2342.277,2342.959,824
2024-05-27 05:30:00,2343.008,2344.226,2340.347,2342.757,1600
2024-05-27 05:45:00,2342.768,2344.212,2341.619,2343.702,1289
2024-05-27 06:00:00,2343.657,2344.599,2342.395,2342.592,1370
2024-05-27 06:15:00,2342.546,2344.416,2341.596,2344.365,1262
2024-05-27 06:30:00,2344.412,2344.621,2342.901,2343.407,1211
2024-05-27 06:45:00,2343.466,2344.37,2341.275,2341.446,1530
