datetime,open,high,low,close,volume
2024-05-26 22:00:00,2335.822,2340.636,2332.221,2340.224,3752
2024-05-26 23:00:00,2340.202,2340.72,2336.598,2337.213,3056
2024-05-27 00:00:00,2337.225,2337.485,2334.397,2336.232,3749
2024-05-27 01:00:00,2336.189,2340.337,2334.581,2339.716,5860
2024-05-27 02:00:00,2339.71,2346.429,2338.757,2346.103,4746
2024-05-27 03:00:00,2346.096,2347.648,2343.606,2346.013,4794
2024-05-27 04:00:00,2346.01,2346.057,2341.027,2342.955,3693
2024-05-27 05:00:00,2342.95,2344.226,2340.347,2343.702,4604
2024-05-27 06:00:00,2343.657,2344.621,2341.275,2341.446,5373
2024-05-27 07:00:00,2341.463,2341.61,2338.148,2338.599,4479
2024-05-27 08:00:00,2338.644,2346.19,2338.194,2344.245,5425
2024-05-27 09:00:00,2344.274,2345.823,2343.037,2343.326,3877
2024-05-27 10:00:00,2343.373,2345.831,2342.436,2344.934,4070
2024-05-27 11:00:00,2344.934,2346.054,2343.192,2345.068,4861
2024-05-27 12:00:00,2345.113,2349.852,2343.712,2347.148,6986
2024-05-27 13:00:00,2347.171,2357.04,2344.656,2354.93,10857
2024-05-27 14:00:00,2354.978,2358.486,2354.115,2354.332,7184
2024-05-27 15:00:00,2354.312,2356.853,2352.211,2352.483,5779
2024-05-27 16:00:00,2352.435,2355.64,2352.157,2354.904,4174
2024-05-27 17:00:00,2354.951,2355.084,2353.443,2353.937,834
2024-05-27 22:00:00,2352.198,2353.766,2351.433,2352.028,1565
2024-05-27 23:00:00,2352.112,2352.819,2351.088,2352.409,2494
2024-05-28 00:00:00,2352.449,2353.578,2351.231,2351.801,3840
2024-05-28 01:00:00,2351.788,2356.357,2349.181,2354.781,7775
2024-05-28 02:00:00,2354.754,2355.852,2351.562,2354.175,4917
2024-05-28 03:00:00,2354.168,2354.547,2350.156,2350.896,4742
2024-05-28 04:00:00,2350.862,2352.081,2350.444,2351.026,3497
2024-05-28 05:00:00,2351.023,2353.706,2349.622,2350.439,4772
2024-05-28 06:00:00,2350.407,2350.407,2341.334,2341.832,9462
2024-05-28 07:00:00,2341.777,2344.969,2341.722,2344.045,6143
2024-05-28 08:00:00,2344.012,2345.099,2340.269,2344.855,5966
2024-05-28 09:00:00,2344.8,2345.171,2342.31,2343.861,4593
2024-05-28 10:00:00,2343.84,2346.313,2343.173,2345.659,4313
2024-05-28 11:00:00,2345.704,2348.485,2343.585,2347.434,4941
2024-05-28 12:00:00,2347.404,2357.114,2345.958,2353.218,9419
2024-05-28 13:00:00,2353.166,2364.115,2352.235,2354.999,16690
2024-05-28 14:00:00,2354.927,2356.87,2347.976,2355.345,13636
2024-05-28 15:00:00,2355.388,2362.161,2353.034,2360.278,9399
2024-05-28 16:00:00,2360.24,2362.23,2355.274,2356.735,6877
2024-05-28 17:00:00,2356.733,2360.06,2353.097,2356.905,7387
2024-05-28 18:00:00,2356.868,2357.793,2352.804,2357.079,5134
2024-05-28 19:00:00,2357.105,2360.229,2355.783,2358.192,4496
2024-05-28 20:00:00,2358.175,2361.279,2357.842,2361.279,3185
2024-05-28 22:00:00,2362.399,2362.399,2358.013,2359.07,1951
2024-05-28 23:00:00,2359.101,2360.857,2358.142,2359.722,3018
2024-05-29 00:00:00,2359.686,2361.074,2357.366,2357.932,3587
2024-05-29 01:00:00,2357.938,2359.484,2355.657,2356.5,6502
2024-05-29 02:00:00,2356.455,2360.89,2354.419,2355.703,5394
2024-05-29 03:00:00,2355.681,2359.123,2355.239,2358.162,5027
2024-05-29 04:00:00,2358.173,2359.008,2356.903,2358.305,3299
2024-05-29 05:00:00,2358.351,2361.359,2356.488,2356.838,6276
2024-05-29 06:00:00,2356.798,2356.798,2351.103,2355.802,6783
2024-05-29 07:00:00,2355.751,2356.188,2350.038,2350.509,5683
2024-05-29 08:00:00,2350.574,2351.765,2344.915,2345.575,6929
2024-05-29 09:00:00,2345.571,2346.186,2340.811,2345.718,6338
2024-05-29 10:00:00,2345.703,2347.231,2343.086,2346.429,4857
2024-05-29 11:00:00,2346.394,2347.003,2338.463,2341.703,5735
2024-05-29 12:00:00,2341.696,2343.803,2334.495,2337.628,8492
2024-05-29 13:00:00,2337.663,2347.23,2335.867,2345.65,13156
2024-05-29 14:00:00,2345.683,2346.501,2341.471,2343.469,9218
2024-05-29 15:00:00,2343.512,2343.753,2336.767,2339.187,7093
2024-05-29 16:00:00,2339.179,2341.959,2336.046,2341.959,5348
2024-05-29 17:00:00,2341.9,2344.3,2339.355,2343.642,5020
2024-05-29 18:00:00,2343.652,2344.329,2337.956,2338.239,4105
2024-05-29 19:00:00,2338.284,2339.324,2336.379,2336.783,4021
2024-05-29 20:00:00,2336.812,2338.734,2335.933,2338.447,3201
2024-05-29 22:00:00,2338.031,2338.992,2337.16,2337.621,1997
2024-05-29 23:00:00,2337.623,2339.128,2337.623,2338.402,2862
2024-05-30 00:00:00,2338.416,2338.416,2333.984,2336.898,4691
2024-05-30 01:00:00,2336.955,2339.89,2332.826,2334.117,7881
2024-05-30 02:00:00,2334.067,2336.585,2328.049,2330.904,7957
2024-05-30 03:00:00,2330.858,2335.109,2329.186,2334.348,6125
2024-05-30 04:00:00,2334.301,2337.133,2334.066,2335.304,4450
2024-05-30 05:00:00,2335.268,2335.821,2322.595,2324.997,7984
2024-05-30 06:00:00,2324.965,2333.098,2323.963,2332.95,7637
2024-05-30 07:00:00,2332.849,2337.733,2332.27,2334.38,6758
2024-05-30 08:00:00,2334.409,2335.796,2331.842,2335.031,6378
2024-05-30 09:00:00,2335.086,2338.015,2331.648,2333.141,6234
2024-05-30 10:00:00,2333.2,2340.971,2330.598,2340.64,5469
2024-05-30 11:00:00,2340.568,2340.641,2335.28,2335.863,6391
2024-05-30 12:00:00,2335.838,2345.269,2331.967,2341.391,13184
2024-05-30 13:00:00,2341.34,2348.665,2339.8,2348.665,14749
2024-05-30 14:00:00,2348.714,2351.885,2342.752,2344.104,12865
2024-05-30 15:00:00,2344.114,2345.782,2341.77,2343.841,8125
2024-05-30 16:00:00,2343.875,2348.038,2340.896,2347.807,5981
2024-05-30 17:00:00,2347.873,2348.844,2342.875,2344.438,5172
2024-05-30 18:00:00,2344.434,2344.585,2341.229,2342.641,4505
2024-05-30 19:00:00,2342.59,2342.602,2339.868,2341.605,4531
2024-05-30 20:00:00,2341.551,2343.578,2341.478,2343.185,2648
2024-05-30 22:00:00,2344.107,2344.684,2341.999,2344.008,2601
2024-05-30 23:00:00,2344.027,2346.414,2343.152,2343.944,3155
2024-05-31 00:00:00,2343.959,2347.553,2342.558,2346.356,4101
2024-05-31 01:00:00,2346.403,2347.666,2343.144,2346.587,7189
2024-05-31 02:00:00,2346.584,2347.725,2342.322,2342.545,5087
2024-05-31 03:00:00,2342.582,2343.736,2336.973,2343.735,6198
2024-05-31 04:00:00,2343.707,2345.584,2341.005,2344.039,4461
