h4_dist_ema20,h1_dist_ema50,h1_dist_ema20,h1_atr,h1_atr_pct,body_atr,range_atr,body_range,close_pos,upper_wick_range,lower_wick_range,prev_body_atr,body_vs_prev,net_3bar,consecutive,hour,dayofweek,month,atr_vs_hist,dist_nearest_swing,dist_pdl,outcome,r,time,action,dist_pdh
0.9850727328734836,0.42330318072662676,0.019256739490559723,27.453794100971862,0.531665948858129,0.7977039501153823,0.802803427422068,0.9936479128856476,0.99727767695098,0.0027223230490199765,0.003629764065332458,0.3318302733128307,2.40395170142705,25.910000000000764,2,20,1,2,1.2555811801671204,0.2815639970041854,2.3818201505956735,0,-1.01,2026-02-24 20:00:00,BUY,
1.0689830272016765,0.5866285108752317,0.33001732340107354,27.47662812639964,0.5307575451266816,0.8960342545213876,1.6690548705260575,0.5368512865241949,0.7071522023549909,0.2928477976450092,0.17030091583079593,0.202717741579395,4.420107719927676,-12.860000000000582,2,4,2,2,1.2055575429759666,0.7595546259894941,3.0702457234534646,1,0.41,2026-02-25 04:00:00,BUY,
0.4899830533155765,0.19236270310248357,0.10326718979703292,28.042425512695388,0.540763473327575,0.737454040508658,2.2405337217194528,0.3291421295559496,0.8855642209135826,0.11443577908641744,0.5564220913576329,0.04457531676188634,16.54400000000023,0.4500000000007276,1,18,3,2,1.1948152563696897,1.1097470861039185,2.2719147447198247,1,0.821,2026-02-26 18:00:00,BUY,
1.4168491870297792,0.8159388899817216,-0.040670579548829376,34.38188352878232,0.645021124856385,0.43016840504443915,0.591299775155743,0.7274963108706354,0.8106246925725791,0.18937530742742095,0.0831283817019437,0.24635066874418649,1.746162927981053,-0.7399999999997817,2,22,0,3,1.3025844166989426,2.011524468754146,4.753957119980667,0,-1.011,2026-03-02 22:00:00,BUY,
-2.4555889946072407,-2.8763977568524766,-2.9839795535972704,61.084951262659644,1.187302861359605,1.6955076145458197,3.1040378371539368,0.5462264648488998,0.37097199514793666,0.08280154000316357,0.37097199514793666,0.4405340340583942,3.848755109624685,-78.96999999999935,3,14,1,3,2.3466699126394674,3.8484110266238516,,0,-0.374,2026-03-03 14:00:00,SELL,4.489158038628511
-0.487472647069696,-0.2628957990209695,0.13399475594291504,23.569715165748278,0.45575374625111964,0.36148082147300903,0.8587290876307547,0.4209486166007717,0.255434782608702,0.3236166007905263,0.255434782608702,0.49512689983453945,0.730077120822577,7.639999999999418,2,7,3,3,0.6804543773148217,0.814180394843578,,1,2.286,2026-03-05 07:00:00,SELL,1.4773195074754424
-1.2321539414329996,-1.1142863064394608,-0.7842606895026076,30.04193144672523,0.5869077857323612,1.4706111715335566,2.743831572419915,0.5359699138663073,0.44583282785394,0.018197258279752652,0.44583282785394,0.04360571830484918,33.725190839707295,2.0500000000010914,1,16,3,3,0.8562287574325157,2.0611191430819193,,1,0.401,2026-03-05 16:00:00,SELL,2.9202516541113646
-1.3534009224720565,-1.1067643941178829,-0.9614915646524089,44.05479631138138,0.8678969494208355,1.22869708935678,2.0717380998631536,0.5930754903034994,0.34775939520105126,0.059165114495449374,0.34775939520105126,1.1022636367848604,1.1147034596375758,-35.909999999998945,2,3,0,3,1.20441795411209,1.5349066540237422,,0,-1.004,2026-03-09 03:00:00,SELL,2.2987281403872415
1.1394747652879247,1.3002963457895353,1.1913004054999417,31.128019812572944,0.6004471293709842,1.722563796953836,1.9741056568969253,0.8725793327908877,0.9685923515052989,0.03140764849470118,0.09601301871441112,0.2769209237176783,6.220417633410739,-8.539999999999054,1,5,1,3,0.9450355800126957,3.9122308689488947,5.434332187480657,1,0.339,2026-03-10 05:00:00,BUY,
0.32572833483139757,0.1865490470436594,0.0077970961263246355,19.51123830411825,0.376429382087618,0.5509645175996333,0.7375236658845492,0.7470465601111713,0.978457261987464,0.021542738012536006,0.23141070187629267,0.13786926068309713,3.9962825278802843,6.4100000000016735,2,23,2,3,0.6614733419371354,1.1567692243928898,3.3744654733730175,0,-1.015,2026-03-11 23:00:00,BUY,
